position_id,time_period,profitability,max_net_value
786330,4 days 20:00:00,0.9986439387306812,215198.30288680724
294132,166 days 18:00:00,1.1096275474350077,1.605664074714633
761057,66 days 12:00:00,0.7777163122590941,81805.09854311796
773319,3 days 21:00:00,0.9645533055291428,502895.425881083
0xf5a96d43e4b9a2c47f302b54d006d7e20f038658-196980-197040,22 days 05:00:00,0.8450784076082113,40736560.40992034
374891,131 days 03:00:00,1.148255813953507,2.769111111199149
234789,58 days 02:00:00,1.180805484147386,14.058960298467865
358614,20 days 21:00:00,1.2165642049482606,785.7362773686554
332753,106 days 06:00:00,1.202266357987058,19.752531712544748
778472,40 days 16:00:00,0.966216216216218,4.749766258689764
769862,13 days 23:00:00,0.7414322389843767,14238.756642975812
333872,115 days 11:00:00,1.2090087781123902,18.9796231182477
783112,2 days 06:00:00,1.0011341371162787,16079.759615790095
342354,157 days 05:00:00,1.194289837146984,23.19648058726112
0x9a5f2e0db22ff289d0cc40ef654a19a5b012d8aa-195180-195240,166 days 14:00:00,0.8130454673363517,13631156.713127589
0x6b75d8af000000e20b7a7ddf000ba900b4009a80-196080-196140,25 days 06:00:00,1.0,0.0
691051,4 days 09:00:00,0.87378115915405,36086.1654600924
749092,24 days 01:00:00,0.936700733051528,19.082208977758896
711113,146 days 13:00:00,0.8787553752953718,1258.896357620158
791725,4 days 22:00:00,0.9299609446601916,642224.8609234625
232057,136 days 09:00:00,1.359994435943787,9.776732471033366
748225,25 days 06:00:00,0.932391603634474,51.58013707766496
756135,75 days 00:00:00,0.8103171170170147,1038.6985608282605
740495,100 days 09:00:00,0.6114600465819634,362.4934312630936
274228,115 days 13:00:00,1.267104353835532,18.403011623489856
713135,142 days 17:00:00,0.9032371417916852,154.7199698711675
301106,71 days 08:00:00,1.0708723560980726,20.88000600044449
798470,3 days 06:00:00,1.024150664987029,782.9220590789523
269517,107 days 07:00:00,1.2717049032838623,5.675603998021103
769345,54 days 00:00:00,0.8057894948635569,347.64426261736617
772126,0 days 13:00:00,1.0006961920442905,323543.9008123774
780560,14 days 22:00:00,1.0616293565063393,584.4390031024718
117562,36 days 23:00:00,1.308904976926962,1162.0857812186596
0x1f2f10d1c40777ae1da742455c65828ff36df387-197880-197940,21 days 23:00:00,1.0,0.0
800975,10 days 16:00:00,0.9828502350570852,372.09830055230736
471455,42 days 17:00:00,1.444490298141042,47.0434833911917
743821,0 days 14:00:00,1.0,6.555598890509548e-09
303177,101 days 05:00:00,1.2373422111249843,8.952653028836675
298617,162 days 01:00:00,1.2510373443983511,6.039337032011588
0x6b75d8af000000e20b7a7ddf000ba900b4009a80-194220-194280,87 days 21:00:00,1.0,0.0
0xa69babef1ca67a37ffaf7a485dfff3382056e78c-196260-196320,140 days 21:00:00,0.9979502701713554,114175730.00680634
769532,1 days 14:00:00,0.9161402016039408,346953.0336685491
773489,0 days 22:00:00,0.9919221741479488,69330.32130600658
403230,173 days 06:00:00,1.1021487039563291,6.487254831707345
789902,3 days 18:00:00,1.0297286781898438,9284.517877916516
240993,170 days 05:00:00,1.2777777777777757,4.737774583790836
248437,37 days 01:00:00,1.6927702009092285,23.083108166373272
798103,169 days 14:00:00,1.0025285324414943,88219.69712237261
783307,34 days 07:00:00,0.8764619613568273,633486.4668346704
0xf5a96d43e4b9a2c47f302b54d006d7e20f038658-198960-199020,41 days 21:00:00,1.171471588702215,61552793.11051548
798818,170 days 21:00:00,0.9861516982055576,143340.42091697516
716286,136 days 17:00:00,0.9380637294457306,63.784450287569385
787264,7 days 02:00:00,1.034713147578299,49.20022323593901
506761,80 days 10:00:00,1.1206238442877416,198.17813661929824
237257,106 days 14:00:00,1.3465772722529454,51.89206261974225
742207,11 days 20:00:00,0.977174217002236,28.62310902560503
236231,106 days 08:00:00,1.2996920161099137,5.519402929827745
717141,25 days 21:00:00,1.05689212080275,200.4210908850249
232011,182 days 11:00:00,0.9422020999903576,47.20468809967534
0x9a5f2e0db22ff289d0cc40ef654a19a5b012d8aa-195240-195300,179 days 08:00:00,0.9132636356698598,173328919.42716968
240582,109 days 04:00:00,1.2654163114521102,13.414190172263844
303184,43 days 06:00:00,1.196369500875094,131.0292996236245
231113,70 days 00:00:00,1.2870847589761392,60.242658084168326
263026,171 days 03:00:00,1.2580511973575406,3.071806100324438
247249,120 days 11:00:00,1.5389294403893048,2.529981403280245
773263,2 days 09:00:00,0.983278189173156,2467.4944165011734
0x6b75d8af000000e20b7a7ddf000ba900b4009a80-194340-194400,0 days 12:00:00,1.0,0.0
0xa69babef1ca67a37ffaf7a485dfff3382056e78c-194220-194280,84 days 18:00:00,0.9981990009413738,43685782.12729048
799752,14 days 14:00:00,0.967286759200598,88.33418035336139
766965,21 days 10:00:00,0.7837192619476447,4241.771292547107
99602,155 days 19:00:00,1.4238498084523583,1776.7497559857434
279780,99 days 03:00:00,1.2854778651220775,3.109846926793733
722924,8 days 23:00:00,1.1879795970791895,17218.56078340623
293441,40 days 19:00:00,1.2327607667413536,14.994230079488972
235010,145 days 01:00:00,1.1342716764377756,53.84420789555489
250537,135 days 06:00:00,1.4048140948757188,34.34336211041185
296958,43 days 14:00:00,0.9572739241339612,49.64023080605432
349461,8 days 04:00:00,1.0861359848921863,1486.5766152259605
0x9a5f2e0db22ff289d0cc40ef654a19a5b012d8aa-194520-194580,167 days 10:00:00,0.7315411496181345,15172575.81806331
802167,0 days 00:00:00,0.9997141301660644,0.0
231578,121 days 13:00:00,1.098684210526316,7.071103003505231
175583,166 days 12:00:00,0.7740262267570123,9556.82468936117
