date,price,daily_return,annualized_return,time_period
2024-03-15,0.053980984364833,,,0 days
2024-03-16,0.0538370175934929,-0.002666990478852549,0.9973330095211475,1 days
2024-03-17,0.0533735584690833,-0.008608558666994504,0.9913914413330055,2 days
2024-03-18,0.0522282130205971,-0.02145904229244222,0.9785409577075578,3 days
2024-03-19,0.0511742205700468,-0.020180519102475203,0.9798194808975248,4 days
2024-03-20,0.0518540882319941,0.013285354508071112,1.0132853545080711,5 days
2024-03-21,0.0533248189612705,0.02836286934014498,1.028362869340145,6 days
2024-03-22,0.0522002712836793,-0.021088635639024855,0.9789113643609751,7 days
2024-03-23,0.0521456887539232,-0.0010456368983118303,0.9989543631016882,8 days
2024-03-24,0.0514560249176069,-0.013225711517031336,0.9867742884829687,9 days
2024-03-25,0.0513916534370338,-0.0012509998717580295,0.998749000128242,10 days
2024-03-26,0.0512146949668354,-0.0034433309372934318,0.9965566690627066,11 days
2024-03-27,0.0505362678865249,-0.013246726955023824,0.9867532730449762,12 days
2024-03-28,0.050290118213036,-0.004870752902481956,0.995129247097518,13 days
2024-03-29,0.0502702795296693,-0.00039448472327419104,0.9996055152767258,14 days
2024-03-30,0.0503306067243254,0.0012000568769563458,1.0012000568769563,15 days
2024-03-31,0.0512211155394776,0.01769318657392227,1.0176931865739223,16 days
2024-04-01,0.0501992005601008,-0.01995104887142063,0.9800489511285794,17 days
2024-04-02,0.0500848192321974,-0.0022785487941476834,0.9977214512058523,18 days
2024-04-03,0.050199601393183,0.002291755520838823,1.0022917555208388,19 days
2024-04-04,0.0486876021018954,-0.030119746956654758,0.9698802530433452,20 days
2024-04-05,0.0490281798076882,0.006995162856450188,1.0069951628564502,21 days
2024-04-06,0.0487971122139787,-0.004712954766337596,0.9952870452336624,22 days
2024-04-07,0.0495621639672792,0.01567821779997347,1.0156782177999735,23 days
2024-04-08,0.0515475284795428,0.04005806755278751,1.0400580675527875,24 days
2024-04-09,0.0507620807058268,-0.015237350788364412,0.9847626492116356,25 days
2024-04-10,0.0501301123849732,-0.012449614201512915,0.9875503857984871,26 days
2024-04-11,0.0498928808099572,-0.0047323168397106485,0.9952676831602894,27 days
2024-04-12,0.0482086507459331,-0.03375692156240406,0.9662430784375959,28 days
2024-04-13,0.0468986050977592,-0.027174493123195642,0.9728255068768044,29 days
2024-04-14,0.0480609483753209,0.024784175886229942,1.02478417588623,30 days
2024-04-15,0.0489890796408373,0.01931154704373239,1.0193115470437324,31 days
2024-04-16,0.0484713579334939,-0.010568104384468313,0.9894318956155317,32 days
2024-04-17,0.0487445417825556,0.00563598505815599,1.005635985058156,33 days
2024-04-18,0.0482935856365679,-0.00925141830236842,0.9907485816976316,34 days
2024-04-19,0.0479763925615956,-0.006568016658761389,0.9934319833412386,35 days
2024-04-20,0.0486021077120705,0.013042146711459424,1.0130421467114594,36 days
2024-04-21,0.0485083667208654,-0.0019287433327056513,0.9980712566672943,37 days
2024-04-22,0.0479399059635833,-0.011718818746325299,0.9882811812536747,38 days
2024-04-23,0.0484122448465276,0.009852728607834482,1.0098527286078345,39 days
2024-04-24,0.0488591944865685,0.009232161025744423,1.0092321610257444,40 days
2024-04-25,0.0489336010203868,0.0015228768013919591,1.001522876801392,41 days
2024-04-26,0.0490650718001278,0.00268671785847574,1.0026867178584757,42 days
2024-04-27,0.0511583732841307,0.04266378112173563,1.0426637811217356,43 days
2024-04-28,0.0517828082292419,0.012205918699625729,1.0122059186996257,44 days
2024-04-29,0.0503977788846048,-0.026746895195517206,0.9732531048044828,45 days
2024-04-30,0.0496669270015113,-0.01450166851136292,0.9854983314886371,46 days
2024-05-01,0.0510909514947555,0.02867148380653539,1.0286714838065354,47 days
2024-05-02,0.0505392520311588,-0.010798379115200762,0.9892016208847992,48 days
2024-05-03,0.04942871198661,-0.021973812431258732,0.9780261875687413,49 days
2024-05-04,0.0489240134817753,-0.010210634357039727,0.9897893656429603,50 days
2024-05-05,0.0491559605052351,0.004740964752333765,1.0047409647523338,51 days
2024-05-06,0.04866201,-0.010048639069569099,0.9899513609304309,52 days
2024-05-07,0.048376252303749,-0.005872295374790282,0.9941277046252097,53 days
2024-05-08,0.0485824617920944,0.004262618093080706,1.0042626180930807,54 days
2024-05-09,0.0483014394259942,-0.005784440634211019,0.994215559365789,55 days
2024-05-10,0.0478747797904787,-0.00883326957924746,0.9911667304207525,56 days
2024-05-11,0.0478756322964648,1.7806995454172636e-05,1.0000178069954542,57 days
2024-05-12,0.0477913136720241,-0.0017612012707960423,0.998238798729204,58 days
2024-05-13,0.0469371052290827,-0.017873717571430414,0.9821262824285696,59 days
2024-05-14,0.0469398167293549,5.776880058894207e-05,1.000057768800589,60 days
2024-05-15,0.0457265309458557,-0.025847688977883032,0.974152311022117,61 days
2024-05-16,0.0449906056201937,-0.016094055473689917,0.9839059445263101,62 days
2024-05-17,0.0462394622401063,0.027758164236670435,1.0277581642366704,63 days
2024-05-18,0.0465737846469109,0.007230239942423555,1.0072302399424236,64 days
2024-05-19,0.0463976942190959,-0.003780891528356478,0.9962191084716435,65 days
2024-05-20,0.0512945518078086,0.10554096860048934,1.1055409686004893,66 days
2024-05-21,0.054065676825084,0.05402376898931305,1.054023768989313,67 days
2024-05-22,0.0541082888019651,0.0007881521028390015,1.000788152102839,68 days
2024-05-23,0.0556144666764408,0.02783636126413591,1.027836361264136,69 days
2024-05-24,0.0542562382567638,-0.02442221423391555,0.9755777857660844,70 days
2024-05-25,0.054161900560969,-0.0017387437615625778,0.9982612562384374,71 days
