date,price,daily_return,annualized_return,time_period
2024-03-15,3738.8785542448,,,0 days
2024-03-16,3525.2515611418125,-0.05713664939997953,0.9428633506000205,1 days
2024-03-17,3643.563267448724,0.03356120953495623,1.0335612095349562,2 days
2024-03-18,3525.292603958942,-0.03246016462686463,0.9675398353731354,3 days
2024-03-19,3160.0121951619503,-0.10361704681953998,0.89638295318046,4 days
2024-03-20,3517.764277763059,0.1132122474555115,1.1132122474555115,5 days
2024-03-21,3491.860552280408,-0.00736368995682779,0.9926363100431722,6 days
2024-03-22,3326.453229014103,-0.04736939542396201,0.952630604576038,7 days
2024-03-23,3338.877522160605,0.00373499709484415,1.0037349970948442,8 days
2024-03-24,3454.640673098411,0.03467127804762793,1.034671278047628,9 days
2024-03-25,3591.3503887775632,0.039572774310139724,1.0395727743101397,10 days
2024-03-26,3594.578807803075,0.0008989429256471837,1.0008989429256472,11 days
2024-03-27,3497.600411630427,-0.02697907080577233,0.9730209291942277,12 days
2024-03-28,3567.889811839132,0.020096463842746104,1.020096463842746,13 days
2024-03-29,3514.294700918116,-0.015021515166520616,0.9849784848334794,14 days
2024-03-30,3509.18351405064,-0.0014543990480196944,0.9985456009519803,15 days
2024-03-31,3640.068506969392,0.03729784788817492,1.037297847888175,16 days
2024-04-01,3504.8903297476263,-0.03713616294939204,0.962863837050608,17 days
2024-04-02,3280.552310742077,-0.06400714370475113,0.9359928562952489,18 days
2024-04-03,3316.391481358615,0.010924736819218905,1.010924736819219,19 days
2024-04-04,3327.374651493717,0.0033117833635860627,1.003311783363586,20 days
2024-04-05,3323.3713982301565,-0.0012031266938224983,0.9987968733061775,21 days
2024-04-06,3361.874185,0.011585460111484425,1.0115854601114844,22 days
2024-04-07,3448.0664140882823,0.025638148349766965,1.025638148349767,23 days
2024-04-08,3700.3699215630354,0.07317246165673574,1.0731724616567357,24 days
2024-04-09,3498.4760753125825,-0.05456044950370076,0.9454395504962992,25 days
2024-04-10,3543.612754125638,0.012901811486311976,1.012901811486312,26 days
2024-04-11,3502.869791731221,-0.011497577534955505,0.9885024224650445,27 days
2024-04-12,3238.030186865482,-0.07560646573015994,0.9243935342698401,28 days
2024-04-13,3011.5388687346945,-0.06994725344115416,0.9300527465588458,29 days
2024-04-14,3156.875194230632,0.04825982058700817,1.0482598205870082,30 days
2024-04-15,3101.0094045508863,-0.01769654682004651,0.9823034531799535,31 days
2024-04-16,3088.8998318440977,-0.0039050422385101813,0.9960949577614898,32 days
2024-04-17,2985.394231077253,-0.03350888873112179,0.9664911112688782,33 days
2024-04-18,3069.7770674907374,0.028265223914174742,1.0282652239141747,34 days
2024-04-19,3062.479814429764,-0.00237712801305745,0.9976228719869425,35 days
2024-04-20,3151.800691120439,0.0291661927924598,1.0291661927924598,36 days
2024-04-21,3153.372542729887,0.0004987154212752198,1.0004987154212752,37 days
2024-04-22,3205.3269360866875,0.01647581839848944,1.0164758183984894,38 days
2024-04-23,3213.009164973468,0.002396706807125115,1.0023967068071251,39 days
2024-04-24,3132.672470627472,-0.02500356837502493,0.9749964316249751,40 days
2024-04-25,3161.62520255466,0.009242182896122664,1.0092421828961227,41 days
2024-04-26,3128.9538741329543,-0.010333713305203496,0.9896662866947965,42 days
2024-04-27,3254.6813277640176,0.040181945368530814,1.0401819453685308,43 days
2024-04-28,3263.10000495789,0.002586636400331077,1.002586636400331,44 days
2024-04-29,3223.332290960732,-0.012187096300063205,0.9878129036999368,45 days
2024-04-30,3016.345655986071,-0.06421510917602824,0.9357848908239718,46 days
2024-05-01,2969.8771418374704,-0.015405566685098515,0.9845944333149015,47 days
2024-05-02,2993.9308387692017,0.00809922289137166,1.0080992228913717,48 days
2024-05-03,3109.679277317559,0.03866102618320366,1.0386610261832037,49 days
2024-05-04,3115.902616966865,0.0020012802267745933,1.0020012802267746,50 days
2024-05-05,3136.848209938644,0.006722159048785592,1.0067221590487856,51 days
2024-05-06,3070.7718604005736,-0.021064567080012697,0.9789354329199873,52 days
2024-05-07,3010.3685711744474,-0.019670392973526463,0.9803296070264735,53 days
2024-05-08,2968.546896579936,-0.013892542924800577,0.9861074570751994,54 days
2024-05-09,3037.8913902309373,0.023359743358237983,1.023359743358238,55 days
2024-05-10,2905.2796822855125,-0.04365255070404073,0.9563474492959593,56 days
2024-05-11,2915.188900147826,0.0034107621110399666,1.00341076211104,57 days
2024-05-12,2927.2127903698747,0.0041245664119531344,1.0041245664119531,58 days
2024-05-13,2949.0451269787586,0.007458404349936387,1.0074584043499364,59 days
2024-05-14,2886.443897801148,-0.021227626734130145,0.9787723732658699,60 days
2024-05-15,3036.6942380563232,0.052053788528380496,1.0520537885283805,61 days
2024-05-16,2941.0543302055357,-0.03149474407143571,0.9685052559285643,62 days
2024-05-17,3086.6586571568982,0.04950752709868733,1.0495075270986873,63 days
2024-05-18,3118.1677617860164,0.010208159738058331,1.0102081597380583,64 days
2024-05-19,3074.6269639614843,-0.013963584114407235,0.9860364158855928,65 days
2024-05-20,3662.194865987281,0.19110217561767184,1.1911021756176718,66 days
2024-05-21,3797.436481128896,0.03692911494078999,1.03692911494079,67 days
2024-05-22,3744.266814379935,-0.014001463095744682,0.9859985369042553,68 days
2024-05-23,3772.851344817893,0.007634213012859714,1.0076342130128597,69 days
2024-05-24,3729.560351018125,-0.011474343896223038,0.988525656103777,70 days
2024-05-25,3743.841512188327,0.0038291808755162027,1.0038291808755162,71 days
2024-05-26,3827.789990571886,0.022423085515308028,1.022423085515308,72 days
2024-05-27,3889.684604599311,0.016169804033104196,1.0161698040331042,73 days
