lp_address,time_period,profitability,max_net_value
0xf952af11501e37ec5d6e4c0de25b5d744502899a,125 days 15:00:00,0.8528301886792239,0.2752718719200979
0x5bce6aa69d23cc7955355bda809fdbf1e96692f1,172 days 21:00:00,0.7842190016102851,0.6517070914931689
0x0b675f4c96fb985e136f43e5b227ff8578d7647a,3 days 13:00:00,1.0,0.0044413848968742
0xf3f09db82afbd056723f96666c608a9b20f21814,43 days 02:00:00,0.8499999999999933,0.020193060432584
0xc1beab9d8c09dca5286b854db9b5872beaf9365f,34 days 20:00:00,0.902214022140218,0.5451885073661887
0x3d81b68b655e1a0d50a970768e6ec6b5659f0de5,116 days 19:00:00,1.0329861111110257,0.0167302932411212
0xc28e566939be215a1080416ef2f66e06693ee162,0 days 00:00:00,1.0,0.0
0x047fcae2a3bea97f0dc5ec2c3947bc8950a8f6e9,10 days 15:00:00,0.9732937685459911,0.3382848800823425
0x933fb135964d68440f308a3a14ebdc5290c45fac,22 days 15:00:00,0.9455040871934578,1.1016688439488769
0x8118e964a88018bcd36d3084783a579c4c56f463,35 days 19:00:00,0.9548422198041232,1.8842945930621111
0x0e5e20f3acef7680f3f80fc98975323dede825d5,79 days 22:00:00,0.7499999999999601,0.0035923107232448
0x2e5eb6d5cce37ebe5b8b998df867998c2733dd10,8 days 06:00:00,0.9911087887679652,1.3702825426180212
0x26c36a493207f6fa6e1c6249185f327e10d2262e,145 days 13:00:00,1.0,0.0
0x572f1c6afebf69d7f574472f88872f56047b68e2,107 days 12:00:00,0.6666666666666367,0.0031216055177402
0xbbb25d5c6d636667e8d1a5a2996076b3c173fc28,99 days 14:00:00,0.803120906602742,0.3025771966554735
0x12b7c8e78990010cfa431e8cf6b3dfdb188f8fee,131 days 03:00:00,0.9552655708744364,12.413259162290863
0x1d3830ff7e6796a9efc0442440ed153db5054138,29 days 02:00:00,1.0010556869593543,1.0307981960362946
0x31f106f3a3e8378dd4f9d8551f4d2712a374f6e5,165 days 17:00:00,0.8655767484105271,1.1619965404964552
0x8b8a0ca3780d3e152cd6c66b933a15ad7af307d6,3 days 23:00:00,0.916666666666665,0.011570199607478
0x31a809a384ca8da8c0e0c64a0cca2a410121bf43,64 days 15:00:00,0.9020778897598422,0.8493901080457257
0x706fa6a99e8c16e26028e03c7c6d492f8af0269e,18 days 01:00:00,0.9642857142857,0.0295669341037013
0xa3f251d86378883e2d2829036c0897a2c5b6a0dd,84 days 20:00:00,0.8749999999999761,0.0085270046695724
0x39a0f93f5d7242099b0baa116fcbe375c3f0dc15,151 days 05:00:00,1.215686274509738,0.0525922458076964
0x973a114582ac70ee5ec845eee0f7292d9ce7f3bd,0 days 00:00:00,1.0,0.0
0x56d8ee6c865f58cccc9c546e6a2ab2d4441b0b93,81 days 22:00:00,0.7901234567901131,0.0094829050366011
0x794e966920731a0f60d64fba6ee66df8948aecd6,2 days 13:00:00,0.9999999999999992,0.008026885443951
0xd1ee0c9a4f88efbdc6818e10cdf4d4fdae019951,114 days 16:00:00,0.999999999999944,0.0239642197354309
0xcccf73ee0e9a22b71959fa81c1b09d687def8d05,1 days 23:00:00,1.0101010101010084,0.099900855964379
0x950cdddc845cbbd072a5a5a944e365d8358bfadf,19 days 00:00:00,0.9331553521484812,0.347056370142766
0x27686364d256efed49d5750f5c3fc70bac874682,135 days 16:00:00,0.836581833709308,70.93663620030091
0x8076ab95158ef060fad1a817a7dd2790eb762efa,103 days 11:00:00,0.9999999999999564,0.0007888028569549
0x53121ad46358ee077e2d91ef6113fdc6963e4e05,149 days 20:00:00,0.9999999999999378,0.0007734632751153
0x641711dca8da2f50f5b33111c470687885b096a1,37 days 19:00:00,0.9999999999999756,0.0146372211631586
0x356d2d58998169da98c3aac706a3133779da6ee3,10 days 15:00:00,0.999999999999994,0.0017339350089777
0x8160cd93ae1dc689d57a5b4a898925e6454ca25c,2 days 11:00:00,0.9333333333333316,0.0149208967405537
0x95151fa406ba9a5cc9f463cc211f135cb01124f8,14 days 22:00:00,0.9565217391304296,0.0231762103497266
0xfce569eadc86e75a97780dc6be8a1e3fa61c169e,0 days 01:00:00,1.0,0.0029422910483433
0xf8f2f8e8cedfc7d831607c64a2aa49eee8112d61,30 days 10:00:00,0.9347826086956448,0.8304875718587004
0xa0112d5c545a5e5fe8068a58f78e053e4ee0ae5e,10 days 18:00:00,0.9999999999999976,0.0012223327662499
0x9e4575da27db196d1590537af7fad8c957770e3e,31 days 08:00:00,0.9161290322580592,1.7127925092251988
0xa6bbd63fdc6806d1c3afdb619f5d9ef2840ea33f,67 days 11:00:00,1.0101010101009802,0.1000006929857691
0x5311b6871d0ce6a5ee246f3232038c4ceb9fd711,0 days 00:00:00,1.0,0.0
0xb068245e7c897b1d2207cdf2cee74f4d6d4a4347,38 days 14:00:00,0.999999999999998,0.0085224554467582
0x9197f44d060a16fb28c1335db6f604dbbd4a4441,160 days 11:00:00,0.8481615569043905,0.699470344497577
0x8027265aa26f77cbab5cd71ca8ceac3be18d284c,54 days 21:00:00,0.9473684210526236,0.1530029279427121
0xe3437802c91e65c04f37a77ea98d85547d9573f8,3 days 09:00:00,0.9999999999999992,0.0100347034478798
0x26d82ecace3ea30a8f61cec406ad8b8df5c7de2d,42 days 18:00:00,0.999999999999985,2.089032561471037e-05
0x61438e0e9d99aadd38fe4a4974a1eb1e954b4191,184 days 23:00:00,0.8093781545018925,0.4591510203481432
0xc1a73b4b940cb80c6c379acd554accb4400c38ca,103 days 13:00:00,0.999999999999965,0.0005140646795936
